slug,field,kind,before_sha256,after_sha256,before_len,after_len,structure_ok,anchors_ok,rewrites,dead_removed,backup_file
conviertete-en-anfitrion-de-alberca-fort-worth-tx,content,retarget,8ea8dcef3c193a9ba8fd0533efba18208037390113ea00acfd658fcf3a710ba4,a1702a52ceb8f937891599e69d275e669f4c556be3213a85b83bd8a94cda2cc4,18631,18631,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-fort-worth-tx.content.json
conviertete-en-anfitrion-de-alberca-jacksonville-fl,body_markdown,retarget,4578a9e86c7ea7302400d65781e8df151757377f931b572adcdcacab402dd90c,bff747fb8e03256f3df649ee85ffb24db860e04b2e628431293a250c3e4234f9,22080,22080,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-jacksonville-fl.body_markdown.json
conviertete-en-anfitrion-de-alberca-jacksonville-fl,content,retarget,f6c21d04c4bb791a8dcbd43004262127523250d9e457338832ef80bf06c1f7b8,750da38e67044d620fb0d39c7b1c9fa8eb81b43d461ef308a8d1c595902391c0,20937,20937,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-jacksonville-fl.content.json
conviertete-en-anfitrion-de-alberca-lakeville-mn,body_markdown,retarget,44eebf4fd3a0ec326fd25f71eb8587a4dcd9ff6a973587ba13c3c99e786a6e29,217f5610b36b1fa6cbdbb5708a563fc28519a9e0e1831fe6692a66e1164e30a5,16647,16647,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-lakeville-mn.body_markdown.json
conviertete-en-anfitrion-de-alberca-lakeville-mn,content,retarget,d95af4fff98351c58306dcfa201a86ef27aa4e1961f800380a000e7ee0e3dd14,ea9fc9a5b3a4ab924eb4841e3abf5e281574fdbd2e2ac176acee0a0d0836a7ed,15676,15676,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-lakeville-mn.content.json
conviertete-en-anfitrion-de-alberca-missoula-mt,body_markdown,retarget,96ae28358eb7a122179a62957ad0c2c451bf12ed141e7ec0087ffd3b04b17e91,a57ae7d0aa4678b4b14436411fab99e19d2143e0885d745ed9d900396aef1b28,15745,15745,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-missoula-mt.body_markdown.json
conviertete-en-anfitrion-de-alberca-missoula-mt,content,retarget,dda18488cc440774bf6261421876857d911994489152bfc5f100df9bde7c26c7,1c2fda17bda480b807a2b5e4dc6417aa2c5fe05b0e2dc9c61dbd7f3d7892b1a9,15032,15032,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-missoula-mt.content.json
conviertete-en-anfitrion-de-alberca-north-charleston-sc,body_markdown,retarget,0dee0c4cb644bf8778d9007129478a214130c515b1f146fc605b859fec8e7550,e35727ca6d57160aad2c85965ab30ceb3fcc5993e5786df6d064023b932a2736,13983,13983,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-north-charleston-sc.body_markdown.json
conviertete-en-anfitrion-de-alberca-north-charleston-sc,content,retarget,d9ed4a4c0f0b47d843a0ab6350fcae57967f33ee861021f726ad4ff705143936,1960791bf4fecb8690849bd2405fa8ed1d5500daefecbe1d788636a6361d866c,13215,13215,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-north-charleston-sc.content.json
conviertete-en-anfitrion-de-alberca-palm-bay-fl,body_markdown,retarget,68d23d17097c5096a2e4079f748cf1af951e5c93e9cfd7354ddc97ff53409b58,3212ac5263992f3881b93ee02fdca2d28f3089801d5e1a06bd5ebd55f5ec6f43,15533,15533,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-palm-bay-fl.body_markdown.json
conviertete-en-anfitrion-de-alberca-palm-bay-fl,content,retarget,786c6d9aec95d0e39d56828017a541a3aaeaf62103b060085803868ce115be4d,2aaf090c161b9b4ee1836e017477bf26ebc95a08753c2e7df779d6f80acc90ac,14785,14785,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-palm-bay-fl.content.json
conviertete-en-anfitrion-de-alberca-phoenix-az,content,retarget,daf18153f8119d1e41d5174639f5570a7f1c8a6084ed20630aedc6cc92116127,bb1f5b16acb370fff9b3c4f055ddf527b46fbfd5c5afd00ba043fb3c63a51f23,19713,19713,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-phoenix-az.content.json
conviertete-en-anfitrion-de-alberca-pittsburg-ca,body_markdown,retarget,9c2b5351bbf380939610d6178049978bb4097d59e5575381c85f36e52701e4ab,398a3d51466aafb2bd484303723d8ced1f7ab3512bd951186baae3671ed4ca15,15638,15638,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-pittsburg-ca.body_markdown.json
conviertete-en-anfitrion-de-alberca-pittsburg-ca,content,retarget,dfbbff6f4e98f9ba5cf7259b0152076a3a5d32f4b502be5ef9fd58e7eaab59b1,b295b1abad1c2d53c7748ca593ab804388b66d1b8aa633edb2758d942b9c97f2,14926,14926,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-pittsburg-ca.content.json
conviertete-en-anfitrion-de-alberca-portland-me,body_markdown,retarget,e73252f4bef36db1a67cda3660f02b71f3343835be6f7b4a90b45fe30acde45a,571482c4727674365927f1bfa7d99b8a7ec7c51fb62f4451aef86fec4d2de913,14267,14267,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-portland-me.body_markdown.json
conviertete-en-anfitrion-de-alberca-quincy-ma,body_markdown,retarget,b32b2bca289a27fa84be4d881ff46794a17e7841c1d35369d511e125c5766526,af6b2397d3e67114e3a1f690b970554136800dffafbaf293fefd9c8bee0386ff,12812,12812,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-quincy-ma.body_markdown.json
conviertete-en-anfitrion-de-alberca-quincy-ma,content,retarget,7956b67ec160e773e6e6a3a5806e1aa6591f997f834e6e798780e7c568386eba,b9765e91ecce882bea8a4b96e1295c372207b47020bf918382896fdd888950e8,12100,12100,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-quincy-ma.content.json
conviertete-en-anfitrion-de-alberca-rialto-ca,body_markdown,retarget,125579d92267480283e6c1b33ea9c43e599607299e6fe2548d90fe8d6a1e5b37,9ed21e6830c3be36fb23b8472bff482603b02980564d5defea9bb53dc181553c,16149,16149,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-rialto-ca.body_markdown.json
conviertete-en-anfitrion-de-alberca-rogers-ar,body_markdown,retarget,ebe7ed8818546702e664855a1a3857cabc5cd789f75d079383df0cacf8745831,fbe368631cfb8ae6ca29308d6c9b5cbb91673c9cc9c309aad941660efd237c0d,18382,18382,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-rogers-ar.body_markdown.json
conviertete-en-anfitrion-de-alberca-rogers-ar,content,retarget,9d4b18b01dd79d9f3121b1ee49e55ab6cee21633e3e212e38edea374d83f3e12,4f886cc019605868a72e5cb0ee216d48fbe7653d74c6b98e79ec024650993305,17670,17670,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-rogers-ar.content.json
conviertete-en-anfitrion-de-alberca-san-buenaventura-ventura-ca,body_markdown,retarget,ce4230d762439b1f15c8e7a7b6c98d0f301ead4adacc6172f4b2baadb7c1d8c8,0826dd6f0239a71f8764d9b16caacd4b2d341f42bcd05b21ebf6c8d4a46e1315,15882,15882,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-san-buenaventura-ventura-ca.body_markdown.json
conviertete-en-anfitrion-de-alberca-san-buenaventura-ventura-ca,content,retarget,3f28221799af070d0379ea3939af1d8c58327a3518f73f65ad3ce1e5c466c462,8d7c7e396b5d7d308fc9ac9e3129ac9b9b6a078b1188f91ce2226e811ba24f7d,15222,15222,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-san-buenaventura-ventura-ca.content.json
conviertete-en-anfitrion-de-alberca-schaumburg-il,body_markdown,retarget,a6f0fda677cbeb03f5b9ea926f9d3092fe4a1b54ee5859ad8f3a14e68ef49951,2efee29219177d6ad2d5355203e792ce69bcff9145b79a7fabac6cc0a50b58cc,16206,16206,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-schaumburg-il.body_markdown.json
conviertete-en-anfitrion-de-alberca-st-joseph-mo,body_markdown,retarget,9014212339c604f4dc5fb3324d808c923afbbd95ee46aac5112a042bd6d12874,ef813a6f7214aee77b35081ff4e9369713b5977940c5aa0a1dbb37b79aea8061,15573,15573,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-st-joseph-mo.body_markdown.json
conviertete-en-anfitrion-de-alberca-st-joseph-mo,content,retarget,04f4ac62f72f507f70b6d2b04106894e3082cf3b8a2381ce44ef2ae19cea3f02,4297497f2e33ca706f095ce8be461b0c2d1f88a665d2c9baac11d767c4e09b45,14850,14850,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-st-joseph-mo.content.json
conviertete-en-anfitrion-de-alberca-troy-mi,body_markdown,retarget,70379b5f1e80458e0ff2ea37018b2ac687d85772149a6492f23a6ac2fedb344a,f3495c1d08eb542252b7ed78eb59084f3e2e058403f9336f5be65e60584106b0,15027,15027,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-troy-mi.body_markdown.json
conviertete-en-anfitrion-de-alberca-troy-mi,content,retarget,2f5a2155e0e3616a6d164c1bb64153dfef657943c99c153167d4b25c456833ee,54510019e1a87ca7ed260545e9a0b8c94af578423f10c4a2f60c2b992f00326d,14365,14365,True,True,/p/free-host-tools->/p/pool-host-tools,,conviertete-en-anfitrion-de-alberca-troy-mi.content.json
corporate-pool-event-venue-bentonville-ar,body_markdown,retarget,6988cfbba95f7fe61bfb23d65035439cea62590ca534634080f73a4e23c68134,0b4e0fce0d85451dbe2f4564cede727d83796e4af765265566ecf46d50d92afe,22802,22802,True,True,/p/free-host-tools->/p/pool-host-tools,,corporate-pool-event-venue-bentonville-ar.body_markdown.json
corporate-pool-event-venue-bentonville-ar,content,retarget,90572faedca6367f6a9bea483318d9c18798f971a35b02d0057b32ce108079b4,99be7d33330ea3fc9149192d76b8122d0a7394b327f87ea0aa27f68d675c2383,22945,22945,True,True,/p/free-host-tools->/p/pool-host-tools,,corporate-pool-event-venue-bentonville-ar.content.json
corporate-pool-event-venue-midland-mi,body_markdown,retarget,43bdaecb4cd157869b7b217c558f5b08f1482e7750bc9ed391d5c5655fdf3520,de38a07b4c8a586ab319825b34d73e6764213b52490c5f85680b1eb670636428,28095,28095,True,True,/p/free-host-tools->/p/pool-host-tools,,corporate-pool-event-venue-midland-mi.body_markdown.json
corporate-pool-event-venue-midland-mi,content,retarget,43bdaecb4cd157869b7b217c558f5b08f1482e7750bc9ed391d5c5655fdf3520,de38a07b4c8a586ab319825b34d73e6764213b52490c5f85680b1eb670636428,28095,28095,True,True,/p/free-host-tools->/p/pool-host-tools,,corporate-pool-event-venue-midland-mi.content.json
corporate-pool-event-venue-springdale-ar,body_markdown,retarget,fd1315b11ec6cef56881725ec20acd459ae93d1b868d70a0f38c2591d84ac281,634bbd3c8c6dbf5d7c3eecfb81279de75c1cd613f9d3b06e4a90b94d06a1aa56,20467,20467,True,True,/p/free-host-tools->/p/pool-host-tools,,corporate-pool-event-venue-springdale-ar.body_markdown.json
corporate-pool-event-venue-springdale-ar,content,retarget,c2b0dcb1ff1440f3dd89b312c20f8f7998e217d7e3ab4a410194a4536a7466ba,9ab9da375afaa2e6be01a9e6b9fa4a2f942e3bcc07c44e1189ca7c707c3f8dbe,20595,20595,True,True,/p/free-host-tools->/p/pool-host-tools,,corporate-pool-event-venue-springdale-ar.content.json
denver-co,content,retarget,756e6f2986d1016efa26b4a9b19366cd9278cf10194f0dde184f7bd0d6875e68,4af14536938443334f0f92f80d7b3b9f11258f2120b0fdbef469d239886b8dcf,11199,11311,True,True,/p/atlanta-ga->/p/become-a-swimming-pool-host-atlanta-ga;/p/dallas-tx->/p/become-a-swimming-pool-host-dallas-tx;/p/orlando-fl->/p/become-a-swimming-pool-host-orlando-fl;/p/phoenix-az->/p/become-a-swimming-pool-host-phoenix-az,,denver-co.content.json
elearning-academy-content-marketing-for-pool-rentals,body_markdown,retarget,5bcf670c80560c05e8269c60e4a6de994463df647d4eb5c80af8a12b1d53485b,6bd6f37e13de1afde1dbe32c8d3ddb82308ffe8a2f317417ff0454d5d6439a80,4607,4607,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-content-marketing-for-pool-rentals.body_markdown.json
elearning-academy-cpr-basics-for-pool-hosts,body_markdown,retarget,0da3198b25c24cd356b2f909eeebf32091a87ce7cecfd6b60b62ad41f061e2e0,1edce2a00b621b0d83735d956440155ce4366ac6f70676c888d7deeec1efdeb7,15223,15223,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-cpr-basics-for-pool-hosts.body_markdown.json
elearning-academy-dynamic-pricing-strategies,body_markdown,retarget,68f9c815c5116659fdd1ea0b6591c4e80106afba4d857121661b22172c1504e3,c76efddec929ecd00cb49c70a0278a7a886ef8fa7e2296881ea0b9c70ca1bec8,15605,15605,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-dynamic-pricing-strategies.body_markdown.json
elearning-academy-hoa-navigation-guide-pool-hosts,body_markdown,retarget,c33ff43a912d5970502983bd95a9cc9cf86d2e15b9206e52d7b0f11de5adafce,56a8d4fe69c281bec4d77decb179129a833783abb7a4ce2fff47b021a7a898b9,16924,16924,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-hoa-navigation-guide-pool-hosts.body_markdown.json
elearning-academy-legal-document-templates-pool-hosts,body_markdown,retarget,9ff1a5b4579a51896ac88718b9595f4b3ebf37a1ca03d1b265287b87745912a3,c1b73c0e1eb06d5a620f90a55196860020d4f9f6060b332f3087c7203b9bdfac,13618,13618,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-legal-document-templates-pool-hosts.body_markdown.json
elearning-academy-permit-licensing-requirements-pool-hosts,body_markdown,retarget,a911f47a269fb79d37fc632fd84842bae0120d6956695242c8621820d3e87cf4,3746f77d55de65614afc86ee821c0606f7600db74fc803a64b86fdf0f8c9cdcb,15871,15871,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-permit-licensing-requirements-pool-hosts.body_markdown.json
elearning-academy-seo-optimization,body_markdown,retarget,969aa70374fc8d40bc8d3fa433e11ac9355b6cddba5825bdbf12176e54afb52f,e29aa7eb236588200dbefe9910da4a28e0adf49cede22b9e06d2251080efae9e,15424,15424,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-seo-optimization.body_markdown.json
elearning-academy-teaching-swim-lessons-at-your-pool,body_markdown,retarget,040b60864568a6dff3171ce68356dd352176872f879dbd2a1f947a719a71bab1,ce89bfe69f1cc4156a3c9bb38cf743b6a511d4237e7508eab949506535ff2edc,12615,12615,True,True,/p/free-host-tools->/p/pool-host-tools,,elearning-academy-teaching-swim-lessons-at-your-pool.body_markdown.json
family-reunion-pool-rental-amarillo-tx,body_markdown,retarget,46f4ed3de08853ef3e4d4716424e97d41d863cd84807555ab9cb9154572de602,830a6e576bc3e1878fa8285605c2a00345b08cdd5327a8b55e6dac38bf22b19e,21829,21829,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-amarillo-tx.body_markdown.json
family-reunion-pool-rental-amarillo-tx,content,retarget,2f79bdd5707e4970a2178a38f1ae398a6884e35095bf7358a853cf7c0d9b8534,ec2f58b9d27ff17d6cf1a7417482e6e12e29d42bd2700a983d4241464850c3c5,21950,21950,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-amarillo-tx.content.json
family-reunion-pool-rental-bloomington-il,body_markdown,retarget,5cbf72425c7f5b2fc16d781fa12cb8ac8c7a29835bf70de61fb8e0449120908b,f413ba4b8117c9b6f618ed2d12fa7e166715cb3a4e06de2c4b8169e5fd113eec,22349,22349,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-bloomington-il.body_markdown.json
family-reunion-pool-rental-bloomington-il,content,retarget,abc6257b1b331855ddf7b791a114e28b291587c0a8f0eda29fa0a8a6e56e3957,41d4363ef0bd110b477dc91ee1a6c2f164369ce7504fcaf0a1ae741ad1e8eb77,22524,22524,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-bloomington-il.content.json
family-reunion-pool-rental-broken-arrow-ok,body_markdown,retarget,292e3755ab13e2567de4a6bde6c2529d434291f9ccd4b0e5cb33c65339ddb49c,cf8a3102c8f0197fc7a3b588df8c2f2031b9708034a5ab38f2ae2d088224fdd5,29982,29982,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-broken-arrow-ok.body_markdown.json
family-reunion-pool-rental-broken-arrow-ok,content,retarget,292e3755ab13e2567de4a6bde6c2529d434291f9ccd4b0e5cb33c65339ddb49c,cf8a3102c8f0197fc7a3b588df8c2f2031b9708034a5ab38f2ae2d088224fdd5,29982,29982,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-broken-arrow-ok.content.json
family-reunion-pool-rental-cleveland-tn,body_markdown,retarget,4afefe72d4f7c5825d1be83deaf0c1238477dad74b07451ecf2ecd3e9da67ca8,4e0e70db9d7b0311a41e896cb76f865f308806e220040775216d6fe53fdcecab,29076,29076,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-cleveland-tn.body_markdown.json
family-reunion-pool-rental-cleveland-tn,content,retarget,4afefe72d4f7c5825d1be83deaf0c1238477dad74b07451ecf2ecd3e9da67ca8,4e0e70db9d7b0311a41e896cb76f865f308806e220040775216d6fe53fdcecab,29076,29076,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-cleveland-tn.content.json
family-reunion-pool-rental-elizabethtown-ky,body_markdown,retarget,4b63d3c584bd1253026f0fbcfb828206cb14e55b8c9f06d9d5f71daf0bf8e7e3,485f03c81bd4d0d4c4d20d9c83802e37906b02de72fdb21b5f01269649b06722,30841,30841,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-elizabethtown-ky.body_markdown.json
family-reunion-pool-rental-elizabethtown-ky,content,retarget,4b63d3c584bd1253026f0fbcfb828206cb14e55b8c9f06d9d5f71daf0bf8e7e3,485f03c81bd4d0d4c4d20d9c83802e37906b02de72fdb21b5f01269649b06722,30841,30841,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-elizabethtown-ky.content.json
family-reunion-pool-rental-florence-sc,body_markdown,retarget,c39cfb3941ddf534db27f04d1bd288d449b41c474667ad2ba03689ef6da4d707,b7b704d441e48bf00e9ec97d254c942d6b7249acd1f5e343cf9f26d6c911abf2,19027,19027,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-florence-sc.body_markdown.json
family-reunion-pool-rental-florence-sc,content,retarget,b49f92987901c2dc5698794da8d1abd64b70336b1db4f9a7a0931929de4c83fa,512583e88e66945f1ad809428a6019b61c11524b0df03abe8418cc4399affd70,19228,19228,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-florence-sc.content.json
family-reunion-pool-rental-goodyear-az,body_markdown,retarget,ad4b430197fc2ab51b51ae90ce9c12ba1f0a08baa388774f525e4843e1bc0a98,b066e9725d4dd7caac0a72e56b6c374ba2bf30e1040f85cf42f176cd96c0a6c8,18824,18824,True,True,/p/free-host-tools->/p/pool-host-tools,,family-reunion-pool-rental-goodyear-az.body_markdown.json
