url,clicks,impr,pos,city,st,listings_in_city,listings_in_state,proposed,canonical,redirect,action_now,rollback,other_params
/s?address=Cleveland,1,9,5.22,Cleveland,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Edcouch, TX&page=2",1,9,5.67,Edcouch,TX,0,18,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Spokane, WA&page=1",1,9,6.67,Spokane,WA,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
/s?address=Garland TX&page=4,1,9,8.11,Garland TX,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Novi, MI",1,8,6.38,Novi,MI,0,4,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Dover, DE&page=2",1,7,4.29,Dover,DE,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Woodbury, MN",1,7,4.86,Woodbury,MN,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Cincinnati, OH&page=3",1,7,6.71,Cincinnati,OH,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Anaheim, CA",1,7,6.86,Anaheim,CA,0,33,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Sioux Falls, SD",1,7,10.71,Sioux Falls,SD,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Hattiesburg, MS",1,6,6,Hattiesburg,MS,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Stamford, CT",1,6,7,Stamford,CT,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Sugar Land TX,1,6,7.67,Sugar Land TX,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Gulfport, MS&page=4",1,5,4.6,Gulfport,MS,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=St. Petersburg, FL&page=2",1,5,8.6,St. Petersburg,FL,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Fairfax, VA&page=3",1,5,9.8,Fairfax,VA,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Fairfax, VA&page=2",1,5,16,Fairfax,VA,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Palmdale, CA&page=5",1,4,5,Palmdale,CA,0,33,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
/s?address=Ocala,1,4,5.25,Ocala,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Baton Rouge,1,4,7.75,Baton Rouge,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Valdosta, GA&page=1",1,4,12.5,Valdosta,GA,0,5,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
/s?address=Missouri,1,4,15.25,Missouri,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Oshkosh, WI",1,3,5.67,Oshkosh,WI,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Kent WA,1,3,6.67,Kent WA,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Oro Valley, AZ",1,3,6.67,Oro Valley,AZ,0,4,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Wilmington, DE&page=2",1,3,7.33,Wilmington,DE,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Redlands, CA&page=2",1,3,9,Redlands,CA,0,33,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Athens, OH",1,3,9.33,Athens,OH,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Lakeland, FL",1,3,10,Lakeland,FL,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Bentonville, AR&page=2",1,3,10.33,Bentonville,AR,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Smyrna, TN&page=2",1,3,10.67,Smyrna,TN,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Holden, MA",1,3,12.33,Holden,MA,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Needham, MA",1,2,3,Needham,MA,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Hickory, NC&page=4",1,2,5.5,Hickory,NC,0,2,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=North Billerica, MA",1,2,6,North Billerica,MA,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Aylett, VA&page=1",1,2,7.5,Aylett,VA,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Madison, AL&page=2",1,2,7.5,Madison,AL,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Kissimmee, FL&page=3",1,2,8.5,Kissimmee,FL,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Hickory, NC&page=5",1,2,9,Hickory,NC,0,2,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Johns Creek, GA",1,2,11.5,Johns Creek,GA,0,5,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Framingham, MA",1,1,4,Framingham,MA,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Pleasanton, TX",1,1,4,Pleasanton,TX,0,18,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Davidsonville, MD&page=1",1,1,5,Davidsonville,MD,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
/s?address=New Jersey,1,1,17,New Jersey,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Ann Arbor, MI&page=1",1,1,28,Ann Arbor,MI,0,4,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
