url,status_now,score,hits_404log,first_seen,last_seen,gsc_clicks,gsc_impr,ai_impr,googlebot_14d,ext_ref_14d,relevance,content_row_exists,closest_live_page,similarity,classification,proposed_destination,curated_decision,curated_destination,curated_reason
/p/pool-safety-guide-for-homeowners,404,58.0,28,2026-08-11,2026-09-23,0,0,0,6,0,general,False,/p/pool-safety-essentials,0.33,410,,REDIRECT,/p/check-inside-the-pool-safety-maintenance-and-tech-tips,closest safety guide; also fixes /guides/* redirect-to-404 chain
/p/pool-rental-rules,404,56.0,56,2026-07-07,2026-09-22,0,0,0,0,0,core,False,/p/about,0.33,RESTORE — needs content (Derek/Brandon approval),/p/pool-rental-rules,REDIRECT,/p/standard-private-pool-rules-for-guests,equivalent
/p/pool-automation-and-smart-technology,404,54.0,44,2026-08-11,2026-09-23,0,0,0,2,0,general,False,/p/smart-home-tech-automation-pool-hosts,0.33,410,,REDIRECT,/p/pool-automation-systems-weighing-the-pros-and-cons-of-smart-pool-control,equivalent
/p/watsonville,404,54.0,54,2026-07-07,2026-09-23,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-watsonville-ca,0.2,410,,REDIRECT,/public-pools/california/watsonville/,"guest city intent, indexable hub"
/p/common-pool-problems-and-solutions,404,53.0,53,2026-07-07,2026-09-23,0,0,0,0,0,general,False,/p/pool-pump-troubleshooting-uk,0.33,410,,REDIRECT,/p/top-20-pool-problems-and-how-to-fix-them-fast,equivalent
/p/il-schaumburg,404,53.0,53,2026-07-08,2026-09-16,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-schaumburg-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-schaumburg-il,REDIRECT,/public-pools/illinois/schaumburg/,guest city intent; NOT the Schaumburg host page
/p/maximize-rental-income,404,53.0,53,2026-07-14,2026-09-25,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,REDIRECT,/p/pool-host-pricing-strategy,host revenue topic
/p/pool-rental-insurance-guide,404,52.0,52,2026-07-09,2026-09-23,0,0,0,0,0,core,False,/p/about,0.33,RESTORE — needs content (Derek/Brandon approval) — INSURANCE TOPIC: Derek decides (rule 8),/p/pool-rental-insurance-guide,HOLD — Derek,,insurance topic (hard rule 8)
/p/es/dallas-renta-tu-alberca,404,51.0,51,2026-07-07,2026-09-24,0,0,0,0,0,core,False,/p/elearning-academy-como-empezar-publica-tu-alberca-es,0.3,RESTORE — needs content (Derek/Brandon approval),/p/es/dallas-renta-tu-alberca,REDIRECT,/p/conviertete-en-anfitrion-de-alberca-dallas-tx,Spanish host intent -> Spanish host page
/p/es/katy-gana-dinero-alberca,404,51.0,51,2026-07-06,2026-09-24,0,0,0,0,0,general,False,/p/conviertete-en-anfitrion-de-alberca-katy-tx,0.2,410,,REDIRECT,/p/conviertete-en-anfitrion-de-alberca-katy-tx,Spanish host intent -> Spanish host page
/p/app,404,49.0,49,2026-07-06,2026-09-25,0,0,0,0,0,general,False,,0,410,,410,,no app landing page exists
/p/vineyard,404,49.0,49,2026-07-07,2026-09-23,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-vineyard-ca,0.2,410,,410,,"ambiguous place name, no demand evidence beyond 404 hits"
/p/setting-rates,404,48.0,48,2026-07-12,2026-09-23,0,0,0,0,0,general,False,/p/setting-your-pool-rental-price,0.25,410,,REDIRECT,/p/pool-host-pricing-strategy,equivalent
/p/airbnb-for-pools,404,46.0,46,2026-07-10,2026-09-14,0,0,0,0,0,general,False,/p/airbnb-vs-pool-rental-near-me,0.25,410,,REDIRECT,/p/pool-rental-near-me-the-airbnb-of-pools,equivalent
/p/es/san-antonio-rentar-alberca,404,44.0,44,2026-07-07,2026-09-24,0,0,0,0,0,core,False,/p/conviertete-en-anfitrion-de-alberca-san-antonio-tx,0.3,RESTORE — needs content (Derek/Brandon approval),/p/es/san-antonio-rentar-alberca,REDIRECT,/public-pools/texas/san-antonio/,"guest intent (""rentar alberca"")"
/p/kentucky,404,44.0,44,2026-07-14,2026-09-25,0,0,0,0,0,general,False,/p/pool-rentals-kentucky,0.5,REDIRECT (equivalent page),/p/pool-rentals-kentucky,,,
/p/landscaping-around-your-pool,404,43.0,13,2026-08-14,2026-09-23,0,0,0,6,0,off-topic/maintenance,False,/p/elearning-academy-landscaping-for-privacy-noise-reduction,0.14,410,,,,
/p/pool-rental-income-tax-guide,404,43.0,43,2026-07-10,2026-09-22,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.75,REDIRECT (equivalent page),/p/taxesforpoolhosts,,,
/p/apply,404,42.0,42,2026-09-14,2026-09-25,0,0,0,0,0,general,False,,0,410,,,,
/p/how-to-clean-a-green-pool-fast,404,42.0,42,2026-07-13,2026-09-15,0,0,0,0,0,general,False,/p/green-pool-water-causes-and-fast-fixes,0.33,410,,,,
/p/es/austin-alquila-tu-alberca,404,41.0,41,2026-07-08,2026-09-24,0,0,0,0,0,general,False,/p/elearning-academy-como-empezar-publica-tu-alberca-es,0.3,410,,,,
/p/saltwater-vs-chlorine-pools,404,41.0,41,2026-07-14,2026-09-25,0,0,0,0,0,off-topic/maintenance,False,/p/best-chlorine-for-pools,0.5,REDIRECT (equivalent page),/p/best-chlorine-for-pools,,,
/p/best-pool-toys-for-rental,404,40.0,40,2026-07-08,2026-09-25,0,0,0,0,0,core,False,/p/about,0.33,RESTORE — needs content (Derek/Brandon approval),/p/best-pool-toys-for-rental,,,
/p/increase-rental-income,404,40.0,40,2026-07-13,2026-09-24,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,,,
/p/best-pool-amenities,404,39.0,39,2026-07-14,2026-09-25,0,0,0,0,0,general,False,/p/best-photoshoots-pool-amenities,0.5,REDIRECT (equivalent page),/p/best-photoshoots-pool-amenities,,,
/p/pool-rental-rules-for-guests,404,39.0,39,2026-07-06,2026-09-23,0,0,0,0,0,core,False,/p/standard-private-pool-rules-for-guests,0.4,REDIRECT (closest topic),/p/standard-private-pool-rules-for-guests,,,
/p/pool-maintenance-costs,404,38.0,38,2026-07-14,2026-09-24,0,0,0,0,0,general,False,/p/pool-maintenance,0.5,REDIRECT (equivalent page),/p/pool-maintenance,,,
/p/pool-safety-guide,404,38.0,38,2026-07-13,2026-09-24,0,0,0,0,0,general,False,/p/pool-safety-essentials,0.5,REDIRECT (equivalent page),/p/pool-safety-essentials,,,
/p/wisconsin,404,38.0,38,2026-07-07,2026-09-23,0,0,0,0,0,general,False,/p/pool-rentals-wisconsin,0.5,REDIRECT (equivalent page),/p/pool-rentals-wisconsin,,,
/p/start-pool-rental-business,404,37.0,37,2026-08-11,2026-09-25,0,0,0,0,0,core,False,/p/swim-instructor-pool-rental,0.4,REDIRECT (closest topic),/p/swim-instructor-pool-rental,,,
/p/pool-rental-price-calculator,404,36.0,36,2026-07-08,2026-09-25,0,0,0,0,0,core,False,/p/setting-your-pool-rental-price,0.5,REDIRECT (equivalent page),/p/setting-your-pool-rental-price,,,
/p/backyard-amenities-guide,404,35.0,35,2026-07-11,2026-09-24,0,0,0,0,0,core,False,/p/best-photoshoots-pool-amenities,0.33,410,,,,
/p/il-arlington-heights,404,35.0,35,2026-07-14,2026-09-24,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-arlington-heights-il,0.5,REDIRECT (equivalent page),/p/become-a-swimming-pool-host-arlington-heights-il,,,
/p/il-peoria,404,35.0,35,2026-07-07,2026-09-15,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-peoria-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-peoria-il,,,
/p/managing-your-pool-rental-business,404,35.0,35,2026-07-10,2026-09-20,0,0,0,0,0,core,False,/p/swim-instructor-pool-rental,0.4,REDIRECT (closest topic),/p/swim-instructor-pool-rental,,,
/p/montgomeryville,404,35.0,30,2026-07-14,2026-09-23,0,0,0,1,0,general,False,/p/montgomeryville-pa,0.5,REDIRECT (equivalent page),/p/montgomeryville-pa,,,
/p/largo,404,33.0,33,2026-07-13,2026-09-24,0,0,0,0,0,general,False,/p/guide-to-quinceanera-pool-rental-largo-fl,0.25,410,,,,
/p/maintenance-guide,404,33.0,33,2026-07-06,2026-09-21,0,0,0,0,0,general,False,/p/pool-maintenance,1.0,REDIRECT (equivalent page),/p/pool-maintenance,,,
/p/maximize-pool-rental-income,404,33.0,33,2026-07-13,2026-09-24,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,,,
/p/virginia,404,33.0,33,2026-07-07,2026-09-25,0,0,0,0,0,general,False,/p/pool-rentals-virginia,0.5,REDIRECT (equivalent page),/p/pool-rentals-virginia,,,
/p/cost-to-build-a-pool,404,32.0,32,2026-08-13,2026-09-21,0,0,0,0,0,general,False,/p/cost-of-building-a-pool-in-2026,0.25,410,,,,
/p/how-to-open-an-above-ground-pool,404,32.0,32,2026-07-07,2026-09-15,0,0,0,0,0,general,False,/p/pool-host-above-ground-pool,0.5,REDIRECT (equivalent page),/p/pool-host-above-ground-pool,,,
/p/il-springfield,404,32.0,32,2026-07-07,2026-09-24,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-springfield-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-springfield-il,,,
/p/pool-rental-income-calculator,404,32.0,32,2026-07-11,2026-09-25,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,,,
/p/texas,404,32.0,32,2026-07-07,2026-09-20,0,0,0,0,0,general,False,/p/katytexas,0.5,REDIRECT (equivalent page),/p/katytexas,,,
/p/winterizing-your-pool,404,32.0,32,2026-07-14,2026-09-24,0,0,0,0,0,general,False,/p/winterizing-a-pool,1.0,REDIRECT (equivalent page),/p/winterizing-a-pool,,,
/p/il-decatur,404,31.0,31,2026-07-07,2026-09-15,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-decatur-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-decatur-il,,,
/p/liability-insurance-for-pool-rental-hosts,404,31.0,31,2026-07-06,2026-09-22,0,0,0,0,0,core,False,/p/insurance-guide-for-pool-owners,0.4,REDIRECT (closest topic) — INSURANCE TOPIC: Derek decides (rule 8),/p/insurance-guide-for-pool-owners,,,
/p/pool-maintenance-cost,404,31.0,31,2026-07-13,2026-09-22,0,0,0,0,0,general,False,/p/pool-maintenance,0.5,REDIRECT (equivalent page),/p/pool-maintenance,,,
/p/pool-rental-business-guide,404,31.0,31,2026-07-10,2026-09-25,0,0,0,0,0,core,False,/p/swim-instructor-pool-rental,0.5,REDIRECT (equivalent page),/p/swim-instructor-pool-rental,,,
/p/pool-rental-insurance-what-you-need-to-know,404,31.0,31,2026-07-10,2026-09-24,0,0,0,0,0,core,False,/p/insurance-guide-for-pool-owners,0.4,REDIRECT (closest topic) — INSURANCE TOPIC: Derek decides (rule 8),/p/insurance-guide-for-pool-owners,,,
/p/salt-water-pool-maintenance,404,31.0,31,2026-07-07,2026-09-18,0,0,0,0,0,off-topic/maintenance,False,/p/salt-pool-maintenance-achieve-crystal-clear-and-soft-pool-water-with-ease,0.38,REDIRECT (closest topic),/p/salt-pool-maintenance-achieve-crystal-clear-and-soft-pool-water-with-ease,,,
/p/washington,404,31.0,31,2026-07-07,2026-09-23,0,0,0,0,0,general,False,/p/pool-rentals-washington,0.5,REDIRECT (equivalent page),/p/pool-rentals-washington,,,
/p/bowling-green,404,30.0,30,2026-09-09,2026-09-22,0,0,0,0,0,general,False,/p/graduation-pool-party-bowling-green-ky,0.4,REDIRECT (closest topic),/p/graduation-pool-party-bowling-green-ky,,,
/p/bozeman,404,30.0,30,2026-09-09,2026-09-22,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-bozeman-mt,0.2,410,,,,
/p/how-to-keep-pool-water-clear,404,30.0,30,2026-07-08,2026-09-16,0,0,0,0,0,general,False,/p/cleanwatermanagementforpoolrentals,0.25,410,,,,
/p/il-bloomington,404,30.0,30,2026-07-08,2026-09-24,0,0,0,0,0,general,False,/p/graduation-pool-party-bloomington-il,0.5,REDIRECT (equivalent page),/p/graduation-pool-party-bloomington-il,,,
/p/il-champaign,404,30.0,30,2026-07-09,2026-09-18,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-champaign-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-champaign-il,,,
/p/il-des-plaines,404,30.0,30,2026-07-07,2026-09-25,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-des-plaines-il,0.5,REDIRECT (equivalent page),/p/become-a-swimming-pool-host-des-plaines-il,,,
/p/hosting),404,29.0,29,2026-07-12,2026-09-24,0,0,0,0,0,core,False,/p/hosting,1.0,REDIRECT (equivalent page),/p/hosting,,,
/p/il-bolingbrook,404,29.0,29,2026-07-08,2026-09-19,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-bolingbrook-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-bolingbrook-il,,,
/p/il-elgin,404,29.0,29,2026-07-07,2026-09-17,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-elgin-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-elgin-il,,,
/p/il-evanston,404,29.0,29,2026-07-07,2026-09-24,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-evanston-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-evanston-il,,,
/p/il-joliet,404,29.0,29,2026-07-07,2026-09-17,0,0,0,0,0,general,False,/p/joliet,1.0,REDIRECT (equivalent page),/p/joliet,,,
/p/il-palatine,404,29.0,29,2026-07-07,2026-09-15,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-palatine-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-palatine-il,,,
/p/il-rockford,404,29.0,29,2026-07-09,2026-09-23,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-rockford-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-rockford-il,,,
/p/pool-chemicals-guide,404,29.0,29,2026-07-07,2026-09-24,0,0,0,0,0,off-topic/maintenance,False,/p/too-many-pool-chemicals-risks-and-fixes,0.2,410,,,,
/p/pool-host-safety-checklist,404,29.0,29,2026-07-10,2026-09-23,0,0,0,0,0,core,False,/p/pool-host-checklist,0.67,REDIRECT (equivalent page),/p/pool-host-checklist,,,
/p/safety-tips,404,29.0,29,2026-07-06,2026-09-24,0,0,0,0,0,general,False,/p/check-inside-the-pool-safety-maintenance-and-tech-tips,0.33,410,,,,
/p/south-carolina,404,29.0,29,2026-07-07,2026-09-15,0,0,0,0,0,general,False,/p/pool-rentals-south-carolina,0.67,REDIRECT (equivalent page),/p/pool-rentals-south-carolina,,,
/p/utah,404,29.0,29,2026-07-07,2026-09-20,0,0,0,0,0,general,False,/p/pool-rentals-utah,0.5,REDIRECT (equivalent page),/p/pool-rentals-utah,,,
/p/boynton-beach,404,28.0,28,2026-09-09,2026-09-22,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-boynton-beach-fl,0.33,410,,,,
/p/cost-to-open-a-pool,404,28.0,28,2026-07-07,2026-09-13,0,0,0,0,0,general,False,/p/how-to-open-your-pool-for-summer,0.33,410,,,,
/p/il-chicago,404,28.0,28,2026-07-12,2026-09-25,0,0,0,0,0,general,False,/p/chicago,1.0,REDIRECT (equivalent page),/p/chicago,,,
/p/maximize-earnings,404,28.0,28,2026-08-16,2026-09-24,0,0,0,0,0,core,False,/p/antidis,0.33,410,,,,
/p/pool-rental-insurance-everything-you-need-to-know,404,28.0,28,2026-07-14,2026-09-24,0,0,0,0,0,core,False,/p/building-your-in-ground-pool-everything-you-need-to-know,0.43,REDIRECT (closest topic) — INSURANCE TOPIC: Derek decides (rule 8),/p/building-your-in-ground-pool-everything-you-need-to-know,,,
/p/pricing-strategy,404,28.0,28,2026-07-07,2026-09-15,0,0,0,0,0,core,False,/p/pool-host-pricing-strategy,0.67,REDIRECT (equivalent page),/p/pool-host-pricing-strategy,,,
/p/protect-your-pool,404,28.0,28,2026-07-08,2026-09-14,0,0,0,0,0,general,False,/p/pool-rental-protect,0.5,REDIRECT (equivalent page),/p/pool-rental-protect,,,
/p/1200,404,27.0,27,2026-09-08,2026-09-11,0,0,0,0,0,general,False,,0,410,,,,
/p/630,404,27.0,27,2026-09-08,2026-09-11,0,0,0,0,0,general,False,,0,410,,,,
/p/essential-pool-amenities-for-guests,404,27.0,27,2026-07-13,2026-09-24,0,0,0,0,0,core,False,/p/best-photoshoots-pool-amenities,0.25,410,,,,
/p/how-to-price-your-pool-rental,404,27.0,27,2026-07-13,2026-09-23,0,0,0,0,0,core,False,/p/setting-your-pool-rental-price,0.67,REDIRECT (equivalent page),/p/setting-your-pool-rental-price,,,
/p/il-cicero,404,27.0,27,2026-07-07,2026-09-24,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-cicero-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-cicero-il,,,
/p/il-naperville,404,27.0,27,2026-07-08,2026-09-23,0,0,0,0,0,general,False,/p/naperville,1.0,REDIRECT (equivalent page),/p/naperville,,,
/p/il-skokie,404,27.0,27,2026-07-09,2026-09-24,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-skokie-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-skokie-il,,,
/p/ny,404,27.0,27,2026-07-08,2026-09-25,0,0,0,0,0,general,False,/p/bellmore-ny,0.5,REDIRECT (equivalent page),/p/bellmore-ny,,,
/p/pool-rental-illinois,404,27.0,27,2026-07-11,2026-09-18,0,0,0,0,0,core,False,/p/guide-to-quinceanera-pool-rental-joliet-il,0.4,REDIRECT (closest topic),/p/guide-to-quinceanera-pool-rental-joliet-il,,,
/p/pool-rental-insurance-basics,404,27.0,27,2026-07-13,2026-09-24,0,0,0,0,0,core,False,/p/about,0.25,410 — INSURANCE TOPIC: Derek decides (rule 8),,,,
/p/pool-safety-requirements,404,27.0,22,2026-08-14,2026-09-25,0,0,0,1,0,general,False,/p/pool-safety-requirements-for-hosts,0.67,REDIRECT (equivalent page),/p/pool-safety-requirements-for-hosts,,,
/p/pool-water-problems-and-solutions,404,27.0,24,2026-07-13,2026-09-21,0,0,0,0,1,general,False,/p/cleanwatermanagementforpoolrentals,0.25,410,,,,
/p/spring-pool-opening-guide,404,27.0,27,2026-07-14,2026-09-25,0,0,0,0,0,general,False,/p/opening-a-pool,0.5,REDIRECT (equivalent page),/p/opening-a-pool,,,
/p/zephyrhills,404,27.0,27,2026-07-13,2026-09-18,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-zephyrhills-fl,0.2,410,,,,
/p/academy,404,26.0,26,2026-07-09,2026-09-21,0,0,0,0,0,general,False,/p/academy-catalog,0.5,REDIRECT (equivalent page),/p/academy-catalog,,,
/p/article,404,26.0,26,2026-09-08,2026-09-11,0,0,0,0,0,general,False,,0,410,,,,
/p/best-robotic-pool-cleaners,404,26.0,26,2026-07-14,2026-09-23,0,0,0,0,0,off-topic/maintenance,False,/p/pool-vacuums-cleaners,0.67,REDIRECT (equivalent page),/p/pool-vacuums-cleaners,,,
/p/es/houston-gana-dinero-alberca,404,26.0,26,2026-07-08,2026-09-14,0,0,0,0,0,general,False,/p/conviertete-en-anfitrion-de-alberca-houston-tx,0.2,410,,,,
/p/how-to-rent-out-your-pool-by-the-hour-the-ultimate-guide,404,26.0,26,2026-07-10,2026-09-21,0,0,0,0,0,core,False,/p/how-to-rent-out-your-pool,0.67,REDIRECT (equivalent page),/p/how-to-rent-out-your-pool,,,
/p/il-waukegan,404,26.0,26,2026-07-07,2026-09-15,0,0,0,0,0,general,False,/p/become-a-swimming-pool-host-waukegan-il,0.4,REDIRECT (closest topic),/p/become-a-swimming-pool-host-waukegan-il,,,
/p/maximize-your-pool-rental-income,404,26.0,26,2026-07-07,2026-09-22,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,,,
/p/pool-equipment-maintenance-guide,404,26.0,26,2026-07-11,2026-09-14,0,0,0,0,0,general,False,/p/pool-maintenance,0.5,REDIRECT (equivalent page),/p/pool-maintenance,,,
/p/pool-safety-equipment-for-hosts,404,26.0,26,2026-07-12,2026-09-25,0,0,0,0,0,core,False,/p/safety-equipment-for-pool-hosts,1.0,REDIRECT (equivalent page),/p/safety-equipment-for-pool-hosts,,,
/p/pool-safety-hosting,404,26.0,26,2026-08-13,2026-09-22,0,0,0,0,0,core,False,/p/hosting,0.5,REDIRECT (equivalent page),/p/hosting,,,
/p/pool-service-cost-guide,404,26.0,26,2026-07-13,2026-09-23,0,0,0,0,0,general,False,/p/cost-of-building-a-pool-in-2026,0.25,410,,,,
/p/texas-pool-chemicals,404,26.0,26,2026-07-11,2026-09-24,0,0,0,0,0,off-topic/maintenance,False,/p/katytexas,0.33,410,,,,
/p/the-ultimate-pool-maintenance-checklist,404,26.0,26,2026-07-10,2026-09-18,0,0,0,0,0,general,False,/p/pool-maintenance,0.5,REDIRECT (equivalent page),/p/pool-maintenance,,,
/p/how-to-calculate-pool-volume,404,25.0,25,2026-07-07,2026-09-23,0,0,0,0,0,general,False,,0,410,,,,
/p/legal-guide-for-pool-hosts,404,25.0,25,2026-07-13,2026-09-20,0,0,0,0,0,core,False,/p/insuranceandlegalessentialsforpoolhostscourse,0.67,REDIRECT (equivalent page),/p/insuranceandlegalessentialsforpoolhostscourse,,,
/p/maintenance-tips,404,25.0,25,2026-07-13,2026-09-25,0,0,0,0,0,general,False,/p/pool-maintenance-tips,1.0,REDIRECT (equivalent page),/p/pool-maintenance-tips,,,
/p/maximize-pool-income,404,25.0,25,2026-08-13,2026-09-24,0,0,0,0,0,core,False,/p/maximize-pool-bookings,0.33,410,,,,
/p/pool-maintenance-tips-for-high-traffic-rentals,404,25.0,25,2026-07-14,2026-09-17,0,0,0,0,0,core,False,/p/pool-maintenance-tips,0.4,REDIRECT (closest topic),/p/pool-maintenance-tips,,,
/p/pool-rental-business,404,25.0,25,2026-07-08,2026-09-14,0,0,0,0,0,core,False,/p/swim-instructor-pool-rental,0.5,REDIRECT (equivalent page),/p/swim-instructor-pool-rental,,,
/p/pool-water-testing-101,404,25.0,25,2026-07-11,2026-09-23,0,0,0,0,0,general,False,/p/top-pool-maintenance-apps-water-testing-caretracking,0.29,410,,,,
/p/safety-guide,404,25.0,25,2026-07-06,2026-09-25,0,0,0,0,0,general,False,/p/pool-safety-essentials,0.5,REDIRECT (equivalent page),/p/pool-safety-essentials,,,
/p/a-pool-owners-guide-to-algae-prevention-and-treatment,404,24.0,24,2026-07-14,2026-09-24,0,0,0,0,0,off-topic/maintenance,False,/p/black-algae-in-pool-removal-and-prevention,0.33,410,,,,
/p/guest-check-in-tips,404,24.0,24,2026-07-11,2026-09-24,0,0,0,0,0,core,False,/p/fivestarguestcheckin,0.5,REDIRECT (equivalent page),/p/fivestarguestcheckin,,,
/p/how-much-can-i-earn-renting-out-my-pool,404,24.0,24,2026-07-11,2026-09-08,0,0,0,0,0,core,False,/p/how-much-can-i-rent-my-pool-for,0.5,REDIRECT (equivalent page),/p/how-much-can-i-rent-my-pool-for,,,
/p/how-much-can-i-make-renting-my-pool,404,24.0,24,2026-07-15,2026-09-19,0,0,0,0,0,core,False,/p/how-much-can-you-make-renting-your-pool,0.67,REDIRECT (equivalent page),/p/how-much-can-you-make-renting-your-pool,,,
/p/pool-cost-texas,404,24.0,24,2026-07-12,2026-09-23,0,0,0,0,0,general,False,/p/katytexas,0.33,410,,,,
/p/pool-fence-ideas,404,24.0,24,2026-07-09,2026-09-22,0,0,0,0,0,general,False,/p/poolside-brunch-ideas,0.25,410,,,,
/p/pool-landscaping-guide,404,24.0,21,2026-07-14,2026-09-15,0,0,0,0,1,off-topic/maintenance,False,/p/elearning-academy-landscaping-for-privacy-noise-reduction,0.17,410,,,,
/p/pool-rental-tax-deductions,404,24.0,24,2026-07-12,2026-09-24,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,,,
/p/pool-rules-for-rental-hosts,404,24.0,24,2026-07-07,2026-08-30,0,0,0,0,0,core,False,/p/pool-rental-guarantees,0.5,REDIRECT (equivalent page),/p/pool-rental-guarantees,,,
/p/top-10-pool-rental-amenities,404,24.0,24,2026-07-15,2026-09-25,0,0,0,0,0,core,False,/p/top-pool-rental-platforms,0.4,REDIRECT (closest topic),/p/top-pool-rental-platforms,,,
/p/how-to-clear-a-green-pool,404,23.0,23,2026-07-06,2026-09-25,0,0,0,0,0,general,False,/p/green-pool-recovery,0.67,REDIRECT (equivalent page),/p/green-pool-recovery,,,
/p/operating-costs-of-a-swimming-pool,404,23.0,23,2026-07-12,2026-09-23,0,0,0,0,0,general,False,/p/2026-best-swimming-pools,0.25,410,,,,
